"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-10","Newfoundland and Labrador","2016A000210","All-items","2002=100","17","units","0","v41691244","3.2","161.9","","","","1"
"2024-10","Prince Edward Island","2016A000211","All-items","2002=100","17","units","0","v41691379","5.2","165.5","","","","1"
"2024-10","Nova Scotia","2016A000212","All-items","2002=100","17","units","0","v41691513","7.2","164.6","","","","1"
"2024-10","New Brunswick","2016A000213","All-items","2002=100","17","units","0","v41691648","9.2","161.6","","","","1"
"2024-10","Quebec","2016A000224","All-items","2002=100","17","units","0","v41691783","11.2","157.9","","","","1"
"2024-10","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","163.5","","","","1"
"2024-10","Manitoba","2016A000246","All-items","2002=100","17","units","0","v41692055","18.2","161.4","","","","1"
"2024-10","Saskatchewan","2016A000247","All-items","2002=100","17","units","0","v41692191","20.2","163.1","","","","1"
"2024-10","Alberta","2016A000248","All-items","2002=100","17","units","0","v41692327","23.2","170.1","","","","1"
"2024-10","British Columbia","2016A000259","All-items","2002=100","17","units","0","v41692462","26.2","156.2","","","","1"
"2024-10","Whitehorse, Yukon","2011A00056001009","All-items","2002=100","17","units","0","v41692598","29.2","159.6","","","","1"
"2024-10","Yellowknife, Northwest Territories","2011A00056106023","All-items","2002=100","17","units","0","v41692722","30.2","160.8","","","","1"
"2024-10","Iqaluit, Nunavut","2011A00056204003","All-items","2002=100","17","units","0","v41713432","31.2","143.6","","","","1"


